request_id,item_id,description,quantity,unit
REQ-MOP-2026-001,127,Sellador siliconado blanco 280ml,200,cartucho
REQ-MOP-2026-001,128,Adhesivo montaje 300ml,120,cartucho
REQ-MOP-2026-001,129,Pegamento contacto 1L,70,lata
REQ-MOP-2026-001,130,Aerosol lubricante multiuso 400ml,200,unidad
REQ-MOP-2026-001,131,Desengrasante industrial 5L,100,bidon
REQ-MOP-2026-001,132,Alcohol isopropilico 1L,120,litro
REQ-MOP-2026-001,133,Removedor pintura gel 1L,30,lata
REQ-MOP-2026-001,134,Pincel 2 pulgadas,150,unidad
REQ-MOP-2026-001,135,Pincel 3 pulgadas,150,unidad
REQ-MOP-2026-001,136,Rodillo lana 22cm,120,unidad
REQ-MOP-2026-001,137,Bandeja pintura plastica,60,unidad
REQ-MOP-2026-001,138,Cinta enmascarar 24mm,500,rollo
REQ-MOP-2026-001,139,Cinta enmascarar 48mm,400,rollo
REQ-MOP-2026-001,140,Nylon cobertura 4x5m,100,unidad
REQ-MOP-2026-001,141,Detergente concentrado 5L,120,bidon
REQ-MOP-2026-001,142,Lavandina 5L,200,bidon
REQ-MOP-2026-001,143,Limpiador desinfectante 5L,160,bidon
REQ-MOP-2026-001,144,Limpiavidrios 5L,80,bidon
REQ-MOP-2026-001,145,Desengrasante cocina 5L,80,bidon
REQ-MOP-2026-001,146,Jabon liquido manos 5L,150,bidon
REQ-MOP-2026-001,147,Alcohol en gel 5L,120,bidon
REQ-MOP-2026-001,148,Papel higienico industrial 300m,600,rollo
REQ-MOP-2026-001,149,Toalla papel interfoliada,300,caja
REQ-MOP-2026-001,150,Bolsa residuos negra 60x90,1000,paquete
REQ-MOP-2026-001,151,Bolsa residuos consorcio 80x110,800,paquete
REQ-MOP-2026-001,152,Trapo piso algodon,500,unidad
REQ-MOP-2026-001,153,Repuesto mopa microfibra,200,unidad
REQ-MOP-2026-001,154,Cabo aluminio 1.4m,150,unidad
REQ-MOP-2026-001,155,Escoba interior,180,unidad
REQ-MOP-2026-001,156,Escoba exterior dura,120,unidad
REQ-MOP-2026-001,157,Secador piso goma 50cm,120,unidad
REQ-MOP-2026-001,158,Balde plastico 12L,100,unidad
REQ-MOP-2026-001,159,Pulverizador manual 1L,120,unidad
REQ-MOP-2026-001,160,Guante limpieza latex talle M,300,par
REQ-MOP-2026-001,161,Guante limpieza latex talle L,300,par
REQ-MOP-2026-001,162,Esponja abrasiva,1000,unidad
REQ-MOP-2026-001,163,Fibra verde limpieza,1000,unidad
REQ-MOP-2026-001,164,Cera piso alto transito 5L,80,bidon
REQ-MOP-2026-001,165,Desodorante ambiente aerosol 360ml,300,unidad
REQ-MOP-2026-001,166,Guante moteado talle M,600,par
REQ-MOP-2026-001,167,Guante moteado talle L,600,par
REQ-MOP-2026-001,168,Guante nitrilo descartable talle M,200,caja
REQ-MOP-2026-001,169,Guante nitrilo descartable talle L,200,caja
REQ-MOP-2026-001,170,Guante cuero descarne,300,par
REQ-MOP-2026-001,171,Anteojo seguridad transparente,400,unidad
REQ-MOP-2026-001,172,Anteojo seguridad gris,200,unidad
REQ-MOP-2026-001,173,Protector auditivo tipo copa,150,unidad
REQ-MOP-2026-001,174,Protector auditivo endoaural descartable,300,caja
REQ-MOP-2026-001,175,Casco seguridad blanco,120,unidad
REQ-MOP-2026-001,176,Casco seguridad amarillo,80,unidad
REQ-MOP-2026-001,177,Barbijo descartable triple capa,300,caja
REQ-MOP-2026-001,178,Respirador media cara,30,unidad
REQ-MOP-2026-001,179,Filtro respirador particulas P100,120,par
REQ-MOP-2026-001,180,Chaleco reflectivo talle M,150,unidad
REQ-MOP-2026-001,181,Chaleco reflectivo talle L,150,unidad
REQ-MOP-2026-001,182,Zapato seguridad talle 39,30,par
REQ-MOP-2026-001,183,Zapato seguridad talle 40,40,par
REQ-MOP-2026-001,184,Zapato seguridad talle 41,50,par
REQ-MOP-2026-001,185,Zapato seguridad talle 42,50,par
REQ-MOP-2026-001,186,Zapato seguridad talle 43,40,par
REQ-MOP-2026-001,187,Botiquin primeros auxilios,20,unidad
REQ-MOP-2026-001,188,Recarga botiquin completa,40,kit
REQ-MOP-2026-001,189,Cinta peligro amarillo negro,300,rollo
REQ-MOP-2026-001,190,Cono vial reflectivo 70cm,100,unidad
REQ-MOP-2026-001,191,Destornillador plano 4mm,80,unidad
REQ-MOP-2026-001,192,Destornillador plano 6mm,80,unidad
REQ-MOP-2026-001,193,Destornillador Phillips PH1,80,unidad
REQ-MOP-2026-001,194,Destornillador Phillips PH2,80,unidad
REQ-MOP-2026-001,195,Alicate corte diagonal,50,unidad
REQ-MOP-2026-001,196,Pinza universal,50,unidad
REQ-MOP-2026-001,197,Pinza punta,40,unidad
REQ-MOP-2026-001,198,Llave francesa 8 pulgadas,40,unidad
REQ-MOP-2026-001,199,Llave francesa 12 pulgadas,30,unidad
REQ-MOP-2026-001,200,Juego llaves combinadas 8 a 19mm,25,set
REQ-MOP-2026-001,201,Juego llaves Allen metricas,30,set
REQ-MOP-2026-001,202,Martillo carpintero 16oz,40,unidad
REQ-MOP-2026-001,203,Maza goma 500g,30,unidad
REQ-MOP-2026-001,204,Cutter reforzado,100,unidad
REQ-MOP-2026-001,205,Repuesto hoja cutter 18mm,300,pack
REQ-MOP-2026-001,206,Cinta metrica 5m,80,unidad
REQ-MOP-2026-001,207,Nivel aluminio 60cm,25,unidad
REQ-MOP-2026-001,208,Pistola silicona manual,30,unidad
REQ-MOP-2026-001,209,Taladro percutor 650W,12,unidad
REQ-MOP-2026-001,210,Amoladora angular 115mm,12,unidad
REQ-MOP-2026-001,211,Atornillador bateria 18V,10,unidad
REQ-MOP-2026-001,212,Bateria adicional 18V,10,unidad
REQ-MOP-2026-001,213,Cargador bateria 18V,6,unidad
REQ-MOP-2026-001,214,Escalera tijera aluminio 6 escalones,12,unidad
REQ-MOP-2026-001,215,Escalera extensible aluminio 24 escalones,6,unidad
REQ-MOP-2026-001,216,Caja herramientas plastica 20 pulgadas,40,unidad
REQ-MOP-2026-001,217,Carro portaherramientas 7 cajones,6,unidad
REQ-MOP-2026-001,218,Linterna LED recargable,60,unidad
REQ-MOP-2026-001,219,Prolongador industrial 25m,20,unidad
REQ-MOP-2026-001,220,Soldador electrico 40W,20,unidad
